person_id,person_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_birth_date
31,31,25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,1999-12-04
32,32,26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,1998-12-04
33,33,25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,1999-12-04
34,34,26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,1998-12-04
35,35,21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,2003-12-04
36,36,22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,2002-12-04
37,37,24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,2000-12-04
38,38,25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,1999-12-04
39,39,23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,,1,0.42,N,4,2001-12-04
40,40,26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,1998-12-04
41,41,24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,2000-12-04
42,42,26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,1998-12-04
43,43,23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,2001-12-04
44,44,26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,1998-12-04
45,45,26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,1998-12-04
46,46,25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,1999-12-04
47,47,26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,1998-12-04
48,48,22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,2002-12-04
49,49,26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,1998-12-04
50,50,24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,,1,0.38,Y,4,2000-12-04
51,51,23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,2001-12-04
52,52,23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,2001-12-04
53,53,23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,2001-12-04
54,54,25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,1999-12-04
55,55,26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,1998-12-04
56,56,26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,1998-12-04
57,57,23,277000,OWN,3.0,PERSONAL,A,35000,,0,0.13,N,4,2001-12-04
58,58,25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,1999-12-04
59,59,24,12000,OWN,2.0,VENTURE,E,1750,,0,0.15,Y,3,2000-12-04
60,60,21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,2003-12-04
61,61,22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,2002-12-04
62,62,26,263000,MORTGAGE,0.0,EDUCATION,B,10000,,1,0.04,N,4,1998-12-04
63,63,25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,1999-12-04
64,64,22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,2002-12-04
65,65,22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,2002-12-04
66,66,26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,1998-12-04
67,67,25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,1999-12-04
68,68,24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,2000-12-04
69,69,25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,1999-12-04
70,70,25,12000,OWN,0.0,MEDICAL,C,3000,,1,0.25,N,3,1999-12-04
71,71,22,56950,RENT,6.0,MEDICAL,A,28000,,1,0.49,N,2,2002-12-04
72,72,21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,2003-12-04
73,73,23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,2001-12-04
74,74,26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,1998-12-04
75,75,26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,1998-12-04
76,76,22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,2002-12-04
77,77,21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,2003-12-04
78,78,22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,2002-12-04
79,79,24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,2000-12-04
80,80,24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,2000-12-04
81,81,144,250000,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,N,3,1880-12-04
82,82,25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,1999-12-04
83,83,26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,1998-12-04
84,84,26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,,1,0.23,N,4,1998-12-04
85,85,22,108000,RENT,6.0,EDUCATION,B,28000,,1,0.26,N,4,2002-12-04
86,86,23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,2001-12-04
87,87,24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,,1,0.4,N,2,2000-12-04
88,88,21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,2003-12-04
89,89,22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,2002-12-04
90,90,22,240000,OWN,6.0,PERSONAL,B,25000,,0,0.1,N,2,2002-12-04
91,91,26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,1998-12-04
92,92,24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,2000-12-04
93,93,24,73399,RENT,0.0,VENTURE,D,27000,,1,0.37,N,3,2000-12-04
94,94,23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,2001-12-04
95,95,23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,2001-12-04
96,96,24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,2000-12-04
97,97,22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,2002-12-04
98,98,25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,1999-12-04
99,99,24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,2000-12-04
100,100,26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,1998-12-04
101,101,25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,1999-12-04
102,102,26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,1998-12-04
103,103,25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,1999-12-04
104,104,23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,2001-12-04
105,105,22,12600,MORTGAGE,,PERSONAL,A,2000,5.42,1,0.16,N,4,2002-12-04
106,106,25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,1999-12-04
107,107,21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,2003-12-04
108,108,24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,,1,0.61,N,3,2000-12-04
109,109,25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,1999-12-04
110,110,24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,2000-12-04
111,111,26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,1998-12-04
112,112,25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,1999-12-04
113,113,26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,1998-12-04
114,114,24,225000,RENT,0.0,MEDICAL,B,6000,,0,0.03,N,4,2000-12-04
115,115,24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,2000-12-04
116,116,23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,2001-12-04
117,117,22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,2002-12-04
118,118,26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,1998-12-04
119,119,25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,1999-12-04
120,120,22,12996,OWN,1.0,EDUCATION,B,4750,,1,0.37,N,3,2002-12-04
121,121,25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,1999-12-04
122,122,21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,2003-12-04
123,123,25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,1999-12-04
124,124,26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,1998-12-04
125,125,23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,2001-12-04
126,126,26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,1998-12-04
127,127,22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,2002-12-04
128,128,23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,2001-12-04
129,129,25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,1999-12-04
130,130,24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,2000-12-04
131,131,23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,2001-12-04
132,132,22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,2002-12-04
133,133,22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,2002-12-04
134,134,22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,2002-12-04
135,135,23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,2001-12-04
136,136,24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,2000-12-04
137,137,23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,2001-12-04
138,138,25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,1999-12-04
139,139,26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,1998-12-04
140,140,23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,2001-12-04
141,141,26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,1998-12-04
142,142,23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,2001-12-04
143,143,26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,1998-12-04
144,144,22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,2002-12-04
145,145,26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,1998-12-04
146,146,23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,2001-12-04
147,147,23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,2001-12-04
148,148,21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,2003-12-04
149,149,22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,2002-12-04
150,150,26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,1998-12-04
151,151,26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,1998-12-04
152,152,22,54996,RENT,6.0,EDUCATION,B,25000,,1,0.45,N,4,2002-12-04
153,153,24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,,1,0.45,Y,4,2000-12-04
154,154,23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,2001-12-04
155,155,23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,2001-12-04
156,156,24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,2000-12-04
157,157,26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,1998-12-04
158,158,24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,2000-12-04
159,159,23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,2001-12-04
160,160,23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,2001-12-04
161,161,24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,2000-12-04
162,162,24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,2000-12-04
163,163,26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,1998-12-04
164,164,23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,,1,0.29,N,3,2001-12-04
165,165,24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,2000-12-04
166,166,24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,2000-12-04
167,167,21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,2003-12-04
168,168,25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,1999-12-04
169,169,23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,2001-12-04
170,170,23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,2001-12-04
171,171,21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,2003-12-04
172,172,25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,1999-12-04
173,173,22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,2002-12-04
174,174,23,200000,MORTGAGE,7.0,EDUCATION,A,28000,,0,0.14,N,2,2001-12-04
175,175,21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,2003-12-04
176,176,24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,2000-12-04
177,177,26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,1998-12-04
178,178,25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,1999-12-04
179,179,24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,2000-12-04
180,180,24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,2000-12-04
181,181,22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,2002-12-04
182,182,22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,2002-12-04
183,183,144,200000,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0.03,N,2,1880-12-04
184,184,25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,1999-12-04
185,185,25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,1999-12-04
186,186,25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,1999-12-04
187,187,24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,,0,0.1,N,3,2000-12-04
188,188,24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,,1,0.42,Y,2,2000-12-04
189,189,21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,,1,0.21,N,4,2003-12-04
190,190,26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,1998-12-04
191,191,23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,2001-12-04
192,192,24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,2000-12-04
193,193,24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,2000-12-04
194,194,25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,1999-12-04
195,195,25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,1999-12-04
196,196,26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,1998-12-04
197,197,26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,1998-12-04
198,198,25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,1999-12-04
199,199,22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,2002-12-04
200,200,24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,2000-12-04
201,201,24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,2000-12-04
202,202,24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,2000-12-04
203,203,25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,1999-12-04
204,204,26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,1998-12-04
205,205,25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,1999-12-04
206,206,25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,1999-12-04
207,207,23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,2001-12-04
208,208,25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,1999-12-04
209,209,24,192000,RENT,0.0,MEDICAL,C,22000,,0,0.11,Y,2,2000-12-04
210,210,21,192000,MORTGAGE,123.0,VENTURE,A,20000,6.54,0,0.1,N,4,2003-12-04
211,211,25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,1999-12-04
212,212,26,190300,MORTGAGE,5.0,PERSONAL,A,15000,,0,0.08,N,3,1998-12-04
213,213,22,190000,MORTGAGE,3.0,VENTURE,C,10000,,0,0.05,N,3,2002-12-04
214,214,24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,2000-12-04
215,215,22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,2002-12-04
216,216,26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,1998-12-04
217,217,23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,2001-12-04
218,218,23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,,1,0.32,Y,2,2001-12-04
219,219,23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,2001-12-04
220,220,23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,2001-12-04
221,221,25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,1999-12-04
222,222,24,185000,MORTGAGE,,EDUCATION,B,35000,12.42,0,0.19,N,2,2000-12-04
223,223,25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,1999-12-04
224,224,24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,2000-12-04
225,225,23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,2001-12-04
226,226,21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,2003-12-04
227,227,24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,2000-12-04
228,228,24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,2000-12-04
229,229,21,14400,MORTGAGE,0.0,MEDICAL,C,1500,,0,0.1,N,4,2003-12-04
230,230,24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,2000-12-04
231,231,26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,1998-12-04
232,232,22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,2002-12-04
233,233,26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,1998-12-04
234,234,24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,2000-12-04
235,235,23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2,2001-12-04
236,236,24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,2000-12-04
237,237,24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3,2000-12-04
238,238,22,183000,MORTGAGE,3.0,EDUCATION,A,1000,,0,0.01,N,2,2002-12-04
239,239,25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3,1999-12-04
240,240,23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4,2001-12-04
241,241,26,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000,,1,0.34,Y,4,1998-12-04
242,242,25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3,1999-12-04
243,243,23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3,2001-12-04
244,244,24,82000,RENT,8.0,VENTURE,B,25000,10.25,0,0.3,N,2,2000-12-04
245,245,24,83000,RENT,5.0,EDUCATION,B,25000,11.12,0,0.3,N,3,2000-12-04
246,246,24,83000,RENT,5.0,PERSONAL,D,25000,12.92,0,0.3,Y,3,2000-12-04
247,247,24,180000,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,Y,4,2000-12-04
248,248,23,180000,MORTGAGE,8.0,PERSONAL,A,28000,7.51,0,0.16,N,3,2001-12-04
249,249,23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2,2001-12-04
250,250,22,14400,OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,N,4,2002-12-04
251,251,22,84500,RENT,6.0,PERSONAL,F,25000,18.3,0,0.3,N,4,2002-12-04
252,252,24,85000,RENT,5.0,MEDICAL,B,25000,10.62,0,0.29,N,4,2000-12-04
253,253,24,180000,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,N,2,2000-12-04
254,254,26,180000,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.07,N,4,1998-12-04
255,255,25,142800,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.06,N,4,1999-12-04
256,256,23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,,1,0.41,N,4,2001-12-04
257,257,24,87000,RENT,8.0,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,N,3,2000-12-04
258,258,24,75000,RENT,0.0,VENTURE,E,25000,14.7,1,0.33,Y,3,2000-12-04
259,259,23,76000,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,N,4,2001-12-04
260,260,23,66215,RENT,1.0,MEDICAL,D,25000,15.37,1,0.32,Y,2,2001-12-04
261,261,25,90000,RENT,9.0,MEDICAL,B,25000,10.99,0,0.28,N,4,1999-12-04
